timestamp,gasX,gasY,gasZ
13900,0.108714,0.107267,0.108841
14000,0.143279,0.151104,0.146487
14100,0.116875,0.121140,0.119320
14200,0.114149,0.110381,0.111664
14300,0.131748,0.131412,0.134070
14400,0.124865,0.122827,0.123354
14500,0.128133,0.126974,0.123494
14600,0.107048,0.110922,0.108800
14700,0.117474,0.114543,0.118635
14800,0.117135,0.120139,0.113284
14900,0.104215,0.107009,0.100101
15000,0.119326,0.122692,0.119173
15100,0.117155,0.114652,0.114818
15200,0.120948,0.115529,0.120800
15300,0.114538,0.120314,0.117631
15400,0.117130,0.114118,0.118842
15500,0.110977,0.111372,0.108937
15600,0.131837,0.126741,0.129904
15700,0.122231,0.119263,0.125051
15800,0.103831,0.095850,0.103717
15900,0.112948,0.113530,0.104792
16000,0.137278,0.135000,0.143640
16100,0.134438,0.138167,0.135135
16200,0.124884,0.133848,0.129030
16300,0.105607,0.101642,0.103486
16400,0.124802,0.129348,0.122076
16500,0.130598,0.124767,0.132390
16600,0.104608,0.098890,0.095918
16700,0.129481,0.126950,0.128406
16800,0.120213,0.122146,0.114698
16900,0.128638,0.120528,0.127829
17000,0.122405,0.116717,0.118377
17100,0.099990,0.103457,0.098736
17200,0.121101,0.117488,0.111179
17300,0.126149,0.124088,0.129235
17400,0.124318,0.125269,0.122887
17500,0.132999,0.129096,0.130561
17600,0.127883,0.125641,0.126433
17700,0.119518,0.122228,0.120400
17800,0.117726,0.124986,0.125805
17900,0.130568,0.130834,0.126145
18000,0.116678,0.115369,0.118701
18100,0.133661,0.138879,0.136671
18200,0.121537,0.124945,0.119106
18300,0.108313,0.113576,0.111908
18400,0.117579,0.111665,0.123104
18500,0.113439,0.110994,0.112601
18600,0.133072,0.135817,0.135822
18700,0.109254,0.110794,0.115429
18800,0.131468,0.131603,0.133702
18900,0.125600,0.123657,0.130489
19000,0.116656,0.119791,0.115944
19100,0.114876,0.116885,0.117695
19200,0.110967,0.111417,0.111454
19300,0.142890,0.136218,0.133477
19400,0.105272,0.110431,0.107202
19500,0.112859,0.109735,0.110325
19600,0.118432,0.124459,0.115851
19700,0.103570,0.103017,0.106178
19800,0.123073,0.125031,0.118769
19900,0.108194,0.109564,0.115855
20000,0.123161,0.120056,0.115488
20100,0.107912,0.105957,0.116823
20200,0.138451,0.143066,0.144280
20300,0.127720,0.127345,0.127734
20400,0.118418,0.121980,0.127149
20500,0.114683,0.121715,0.117064
20600,0.126441,0.123963,0.129025
20700,0.115703,0.110470,0.115512
20800,0.115201,0.109614,0.108530
20900,0.129002,0.127239,0.122718
21000,0.117906,0.119045,0.111942
21100,0.121102,0.113237,0.122523
21200,0.106632,0.105091,0.101668
21300,0.124909,0.124869,0.127788
21400,0.118332,0.117673,0.117554
21500,0.105910,0.105786,0.101474
21600,0.116002,0.119097,0.113751
21700,0.145092,0.144945,0.141104
21800,0.115740,0.112092,0.115330
21900,0.132464,0.138202,0.138740
22000,0.122637,0.115761,0.126504
22100,0.126933,0.125291,0.127416
22200,0.118809,0.115325,0.114715
22300,0.129967,0.134883,0.129889
22400,0.117656,0.122655,0.119589
22500,0.115053,0.115158,0.112057
22600,0.114144,0.110821,0.109074
22700,0.138431,0.138647,0.138626
22800,0.121763,0.117707,0.121003
22900,0.111748,0.110631,0.108237
23000,0.110409,0.111092,0.116553
23100,0.119087,0.117109,0.119699
23200,0.131795,0.132953,0.124384
23300,0.133746,0.133484,0.131735
23400,0.113380,0.115786,0.109049
23500,0.122631,0.125248,0.123370
23600,0.104713,0.106458,0.107574
23700,0.105038,0.107307,0.111966
23800,0.111776,0.112822,0.117975
23900,0.120633,0.115775,0.118475
24000,0.120048,0.121176,0.119079
24100,0.130230,0.127817,0.126830
24200,0.114240,0.111849,0.117418
24300,0.118015,0.117960,0.119086
24400,0.130065,0.130115,0.116748
24500,0.123877,0.120225,0.118645
24600,0.130386,0.132713,0.132896
24700,0.129234,0.130961,0.125795
24800,0.098677,0.097065,0.103855
24900,0.115168,0.118047,0.116347
25000,0.110347,0.113903,0.108809
25100,0.124230,0.130143,0.131109
25200,0.108598,0.108435,0.100337
25300,0.107792,0.109389,0.110930
25400,0.111368,0.112159,0.123208
25500,0.111973,0.117049,0.119243
25600,0.124510,0.127904,0.121770
25700,0.115535,0.113454,0.114701
25800,0.128940,0.127901,0.125366
25900,0.118304,0.111167,0.111082
26000,0.116491,0.120489,0.117013
26100,0.113658,0.114443,0.112378
26200,0.126995,0.130427,0.127858
26300,0.125688,0.129061,0.122364
26400,0.107103,0.110805,0.113440
26500,0.130534,0.131374,0.130008
26600,0.108866,0.105369,0.108102
26700,0.127553,0.129300,0.128466
26800,0.119124,0.118960,0.116304
26900,0.124608,0.121244,0.119333
27000,0.118668,0.120048,0.113729
27100,0.108800,0.110138,0.115868
27200,0.111587,0.110387,0.107883
27300,0.116351,0.113951,0.118556
27400,0.119408,0.122964,0.116551
27500,0.120208,0.122387,0.117851
27600,0.113931,0.111289,0.115567
27700,0.116438,0.114294,0.119943
27800,0.123341,0.127075,0.125830
27900,0.124126,0.125393,0.127956
28000,0.113574,0.113646,0.113396
28100,0.131250,0.130732,0.128359
28200,0.119467,0.115547,0.123043
28300,0.112025,0.116167,0.118271
28400,0.129241,0.130625,0.124882
28500,0.132801,0.129550,0.130182
28600,0.116904,0.117044,0.114020
28700,0.108016,0.120045,0.111278
28800,0.125990,0.126320,0.118556
28900,0.121941,0.120871,0.122332
29000,0.128510,0.132129,0.134887
29100,0.109101,0.115079,0.108265
29200,0.120737,0.119949,0.118611
29300,0.110350,0.110406,0.110169
29400,0.124261,0.120725,0.120585
29500,0.105859,0.106971,0.106335
29600,0.100592,0.104787,0.101607
29700,0.121006,0.129901,0.118207
29800,0.114630,0.114776,0.121063
29900,0.138387,0.133231,0.138480
30000,0.124815,0.122057,0.128959
30100,0.138705,0.141023,0.141268
30200,0.116588,0.113408,0.119147
30300,0.128526,0.123493,0.119088
30400,0.121923,0.121808,0.124633
30500,0.122612,0.122224,0.124928
30600,0.113271,0.119413,0.119098
30700,0.114802,0.118399,0.121046
30800,0.116555,0.116322,0.117187
30900,0.126248,0.125648,0.128982
31000,0.113585,0.114281,0.118381
31100,0.116100,0.119838,0.125486
31200,0.112120,0.121524,0.114210
31300,0.116850,0.116132,0.117823
31400,0.104431,0.106160,0.107483
31500,0.129273,0.133778,0.131828
31600,0.135926,0.134205,0.133263
31700,0.128191,0.129692,0.130239
31800,0.134877,0.139911,0.135769
31900,0.123711,0.123451,0.121487
32000,0.120729,0.122607,0.107639
32100,0.127994,0.131170,0.125191
32200,0.112436,0.110216,0.113731
32300,0.105074,0.099273,0.099503
32400,0.112103,0.112195,0.115557
32500,0.115462,0.125833,0.121379
32600,0.113451,0.115333,0.110883
32700,0.120123,0.119186,0.125052
32800,0.114154,0.118354,0.113535
32900,0.126643,0.126127,0.127569
33000,0.121649,0.123964,0.120169
33100,0.126539,0.121469,0.122863
33200,0.105352,0.110625,0.107199
33300,0.127982,0.126354,0.133063
33400,0.128259,0.127697,0.129817
33500,0.123176,0.122300,0.125475
33600,0.122762,0.125888,0.128442
33700,0.110222,0.110658,0.105883
33800,0.100557,0.102946,0.099382
33900,0.098818,0.099363,0.100809
34000,0.124848,0.122362,0.128900
34100,0.139655,0.143896,0.145658
34200,0.123061,0.127127,0.125763
34300,0.133264,0.126843,0.131727
34400,0.141524,0.143586,0.143596
34500,0.114847,0.124091,0.122327
34600,0.127171,0.123923,0.128790
34700,0.113799,0.115298,0.109772
34800,0.128266,0.126715,0.131494
34900,0.122383,0.127495,0.118222
35000,0.135744,0.138055,0.137740
35100,0.111864,0.114641,0.110483
35200,0.113893,0.115797,0.110434
35300,0.131068,0.133283,0.126930
35400,0.107192,0.113208,0.106346
35500,0.128397,0.134029,0.137424
35600,0.111378,0.118292,0.114524
35700,0.120002,0.122273,0.118423
35800,0.120100,0.115675,0.128034
35900,0.134661,0.137658,0.133729
36000,0.133337,0.137128,0.135412
36100,0.122485,0.123092,0.120954
36200,0.143599,0.142562,0.139029
36300,0.114293,0.112846,0.116898
36400,0.132836,0.139818,0.134831
36500,0.092833,0.097860,0.091112
36600,0.123744,0.133318,0.131443
36700,0.114469,0.113967,0.117026
36800,0.127473,0.129554,0.129300
36900,0.129722,0.133377,0.122758
37000,0.125352,0.127117,0.130346
37100,0.099070,0.101621,0.097655
37200,0.118757,0.119447,0.114150
37300,0.128922,0.123895,0.124946
37400,0.123340,0.121582,0.125252
37500,0.100957,0.106052,0.109266
37600,0.104774,0.103200,0.108656
37700,0.110296,0.118054,0.112332
37800,0.128590,0.124756,0.126056
37900,0.130632,0.125119,0.126192
38000,0.113724,0.109085,0.110841
38100,0.116225,0.114454,0.113731
38200,0.123154,0.118064,0.118936
38300,0.127483,0.128500,0.132449
38400,0.115174,0.121099,0.114511
38500,0.106384,0.108334,0.108305
38600,0.127849,0.131857,0.129226
38700,0.108560,0.106150,0.106513
38800,0.131975,0.130711,0.129890
38900,0.116249,0.121873,0.113398
39000,0.112849,0.111120,0.111445
39100,0.115025,0.117433,0.114340
39200,0.108421,0.106406,0.109347
39300,0.135469,0.141352,0.133812
39400,0.113179,0.115246,0.114985
39500,0.139523,0.150117,0.150531
39600,0.129989,0.126635,0.130817
39700,0.120913,0.129929,0.126757
39800,0.127970,0.134148,0.119711
39900,0.121682,0.123034,0.124043
40000,0.104144,0.100613,0.100290
40100,0.129706,0.132723,0.131830
40200,0.112648,0.115332,0.117292
40300,0.117515,0.114793,0.113028
40400,0.116888,0.122674,0.128034
40500,0.107075,0.109132,0.109736
40600,0.120484,0.117972,0.116150
40700,0.133368,0.131305,0.127407
40800,0.111569,0.117337,0.109956
40900,0.125904,0.121694,0.120086
41000,0.117941,0.117078,0.119718
41100,0.140638,0.138626,0.141885
41200,0.121042,0.121618,0.121103
41300,0.117348,0.118780,0.116775
41400,0.107135,0.107583,0.106464
41500,0.141249,0.142909,0.141051
41600,0.117501,0.118804,0.115069
41700,0.132707,0.130033,0.132141
41800,0.102016,0.102420,0.101704
41900,0.120681,0.122172,0.116934
42000,0.132501,0.125784,0.126357
42100,0.126670,0.125001,0.126940
42200,0.114283,0.116363,0.109334
42300,0.110137,0.116938,0.109634
42400,0.120561,0.122694,0.124526
42500,0.118570,0.121825,0.123662
42600,0.122772,0.119955,0.124276
42700,0.119629,0.125328,0.120680
42800,0.109943,0.114731,0.110797
42900,0.110960,0.115365,0.110420
43000,0.125105,0.115983,0.119360
43100,0.127995,0.129045,0.125938
43200,0.114912,0.112032,0.117076
43300,0.113873,0.113172,0.117610
43400,0.129937,0.131139,0.132683
43500,0.111882,0.117222,0.107448
43600,0.123076,0.122027,0.124235
43700,0.121580,0.121347,0.117180
43800,0.109194,0.114112,0.115223
43900,0.109070,0.114745,0.113792
44000,0.126283,0.128326,0.122853
44100,0.105636,0.110362,0.112034
44200,0.119246,0.119585,0.110039
44300,0.108048,0.109056,0.110145
44400,0.133438,0.133796,0.131335
44500,0.110465,0.108014,0.104938
44600,0.119053,0.124030,0.117832
44700,0.111057,0.112378,0.110364
44800,0.132952,0.135748,0.133542
44900,0.116813,0.119336,0.116354
45000,0.124058,0.119560,0.124508
45100,0.115432,0.114482,0.113576
45200,0.123510,0.124301,0.122389
45300,0.119048,0.118391,0.124625
45400,0.113330,0.115236,0.109032
45500,0.132756,0.127132,0.133684
45600,0.108959,0.108287,0.107996
45700,0.134424,0.130732,0.129372
45800,0.130707,0.131478,0.128883
45900,0.120649,0.116620,0.124462
46000,0.122818,0.118950,0.119393
46100,0.120135,0.115564,0.120500
46200,0.110531,0.114846,0.113490
46300,0.113443,0.114914,0.112656
46400,0.113397,0.117355,0.114149
46500,0.119790,0.117940,0.119882
46600,0.135783,0.135320,0.139705
46700,0.121879,0.121543,0.119772
46800,0.121115,0.114905,0.116983
46900,0.133581,0.135660,0.127906
47000,0.115256,0.115744,0.118606
47100,0.124217,0.124384,0.127025
47200,0.128188,0.127965,0.130011
47300,0.107865,0.108136,0.109912
47400,0.130324,0.125306,0.137746
47500,0.119602,0.117964,0.121003
47600,0.109092,0.110221,0.108934
47700,0.124977,0.127718,0.124593
47800,0.113594,0.118380,0.114669
47900,0.119457,0.126281,0.123908
48000,0.123010,0.122988,0.122028
48100,0.128369,0.127143,0.127558
48200,0.115270,0.115393,0.111689
48300,0.108518,0.100772,0.099390
48400,0.121583,0.122290,0.122815
48500,0.118966,0.126491,0.120311
48600,0.129909,0.134827,0.129355
48700,0.106557,0.101251,0.104903
48800,0.128952,0.129048,0.127678
48900,0.118042,0.116518,0.122210
49000,0.126220,0.129524,0.126160
49100,0.120928,0.124650,0.129940
49200,0.115255,0.116051,0.109214
49300,0.130761,0.132851,0.129436
49400,0.116842,0.121761,0.121061
49500,0.119510,0.119829,0.119748
49600,0.101891,0.103795,0.106161
49700,0.117037,0.120723,0.120546
49800,0.115982,0.119871,0.121129
49900,0.116796,0.115512,0.117768
50000,0.124114,0.127528,0.130361
50100,0.100945,0.101616,0.103587
50200,0.134067,0.128973,0.129366
50300,0.110755,0.117837,0.105845
50400,0.104231,0.102633,0.101598
50500,0.114166,0.114312,0.108073
50600,0.125405,0.124781,0.120411
50700,0.106618,0.106153,0.111184
50800,0.107081,0.107529,0.101308
50900,0.130300,0.133730,0.131698
51000,0.109677,0.114933,0.107882
51100,0.108393,0.111278,0.105025
51200,0.108662,0.115641,0.118635
51300,0.128796,0.125543,0.122976
51400,0.107300,0.099207,0.105031
51500,0.130748,0.134121,0.131554
51600,0.121089,0.119579,0.119334
51700,0.098811,0.096663,0.104302
51800,0.110921,0.108341,0.113683
51900,0.115229,0.120858,0.115872
52000,0.103010,0.104443,0.101815
52100,0.116373,0.114086,0.113693
52200,0.154669,0.154772,0.155482
52300,0.107524,0.106117,0.110397
52400,0.123423,0.128008,0.126027
52500,0.131364,0.131368,0.124473
52600,0.106339,0.106140,0.105272
52700,0.130088,0.130196,0.130698
52800,0.130382,0.132522,0.128650
52900,0.119994,0.120708,0.116580
53000,0.127133,0.126252,0.124444
53100,0.113300,0.120296,0.116460
53200,0.111116,0.110335,0.112172
53300,0.139415,0.133276,0.127825
53400,0.138417,0.137695,0.140354
53500,0.136337,0.133822,0.136479
53600,0.118653,0.116170,0.123761
53700,0.117474,0.118819,0.117822
53800,0.111012,0.116448,0.115510
53900,0.117864,0.116098,0.124924
54000,0.116824,0.114612,0.114272
54100,0.115479,0.113879,0.117067
54200,0.114753,0.114672,0.114728
54300,0.113140,0.113484,0.116791
54400,0.112120,0.112962,0.112817
54500,0.107752,0.114360,0.111559
54600,0.117873,0.118000,0.118497
54700,0.127876,0.132980,0.126579
54800,0.122886,0.124039,0.118362
54900,0.105660,0.096779,0.104133
55000,0.120602,0.121451,0.121192
55100,0.110121,0.101062,0.100321
55200,0.106695,0.107375,0.108325
55300,0.107161,0.107894,0.101898
55400,0.111950,0.109938,0.112654
55500,0.131377,0.121337,0.128462
55600,0.115505,0.119090,0.115238
55700,0.111290,0.115957,0.110841
55800,0.123470,0.127109,0.117444
55900,0.116182,0.123880,0.121261
56000,0.124251,0.116496,0.120091
56100,0.120643,0.119579,0.125701
56200,0.130293,0.133099,0.134672
56300,0.134766,0.131966,0.129334
56400,0.104923,0.105518,0.108993
56500,0.105153,0.100500,0.098458
56600,0.111782,0.110291,0.112270
56700,0.116109,0.112559,0.116785
56800,0.152209,0.153101,0.147664
56900,0.117092,0.117375,0.118893
57000,0.107890,0.105121,0.107464
57100,0.112089,0.115421,0.114439
57200,0.111341,0.110739,0.114423
57300,0.133698,0.133512,0.130866
57400,0.108874,0.107381,0.108936
57500,0.097193,0.092749,0.087939
57600,0.111711,0.115894,0.106259
57700,0.161311,0.161558,0.155860
57800,0.133234,0.135915,0.134619
57900,0.113513,0.112485,0.111919
58000,0.133300,0.136282,0.129729
58100,0.115009,0.118683,0.118866
58200,0.121237,0.128698,0.120362
58300,0.129278,0.120414,0.126571
58400,0.104239,0.109932,0.104333
58500,0.129518,0.128471,0.127841
58600,0.126802,0.127386,0.129498
58700,0.132040,0.131707,0.134764
58800,0.115171,0.111277,0.106706
58900,0.118306,0.116222,0.127487
59000,0.096933,0.097147,0.095170
59100,0.118579,0.117351,0.124898
59200,0.114301,0.112905,0.116074
59300,0.116025,0.116288,0.114486
59400,0.131132,0.131870,0.133622
59500,0.121416,0.126292,0.133086
59600,0.107434,0.104907,0.109530
59700,0.116422,0.115497,0.115310
59800,0.129002,0.122040,0.127491
59900,0.139724,0.143726,0.137527
60000,0.125329,0.129061,0.129615
60100,0.110746,0.117640,0.113451
60200,0.104784,0.109763,0.110716
60300,0.117206,0.121015,0.120187
60400,0.112313,0.114223,0.115081
60500,0.105633,0.107689,0.108539
60600,0.118353,0.117879,0.118433
60700,0.103537,0.102868,0.111680
60800,0.110859,0.109391,0.111997
60900,0.120791,0.117587,0.116349
61000,0.109862,0.106378,0.100874
61100,0.138757,0.138497,0.143083
61200,0.136117,0.127921,0.130090
61300,0.118208,0.115738,0.120869
61400,0.121066,0.115129,0.116946
61500,0.138042,0.133500,0.138886
61600,0.127042,0.127571,0.121993
61700,0.096846,0.097311,0.102623
61800,0.117203,0.119725,0.122971
61900,0.113060,0.115944,0.119634
62000,0.134886,0.136430,0.133102
62100,0.125428,0.123668,0.123973
62200,0.120067,0.111989,0.115954
62300,0.120764,0.121628,0.124472
62400,0.122381,0.123963,0.130188
62500,0.117051,0.117128,0.123254
62600,0.110791,0.106233,0.114209
62700,0.123284,0.126732,0.125634
62800,0.124405,0.117612,0.120235
62900,0.115912,0.115686,0.113900
63000,0.110985,0.107258,0.108583
63100,0.124597,0.121336,0.123192
63200,0.106471,0.104941,0.109396
63300,0.110062,0.106599,0.108977
63400,0.108619,0.111434,0.110832
63500,0.117250,0.117251,0.115971
63600,0.144888,0.145360,0.148072
63700,0.122030,0.115032,0.114930
63800,0.109435,0.113178,0.109550
63900,0.120446,0.116749,0.124501
64000,0.105941,0.102954,0.109266
64100,0.109509,0.106043,0.100211
64200,0.128861,0.124432,0.128742
64300,0.110766,0.107415,0.110902
64400,0.128817,0.127013,0.127504
64500,0.130408,0.130840,0.132422
64600,0.126596,0.118771,0.124200
64700,0.112787,0.114396,0.116835
64800,0.115660,0.115260,0.118352
64900,0.118856,0.117656,0.121963
65000,0.117135,0.121673,0.110941
65100,0.130344,0.126336,0.125936
65200,0.122999,0.119879,0.117645
65300,0.130205,0.125906,0.125345
65400,0.124255,0.129249,0.122965
65500,0.128990,0.129917,0.130270
65600,0.111686,0.105282,0.113880
65700,0.124439,0.123469,0.124796
65800,0.126721,0.132576,0.124752
65900,0.124155,0.132628,0.124369
66000,0.118986,0.113943,0.117953
66100,0.108412,0.108761,0.113092
66200,0.100933,0.100671,0.089643
66300,0.123275,0.123380,0.124243
66400,0.118705,0.114464,0.116271
66500,0.128100,0.132256,0.131585
66600,0.127976,0.126627,0.130568
66700,0.118327,0.119676,0.117754
66800,0.108721,0.107511,0.109540
66900,0.129585,0.124755,0.132680
67000,0.106469,0.104838,0.101131
67100,0.120503,0.126327,0.121228
67200,0.108972,0.112202,0.114581
67300,0.122635,0.125343,0.115243
67400,0.135401,0.123997,0.136920
67500,0.121262,0.127817,0.123229
67600,0.112472,0.122524,0.115144
67700,0.132550,0.132955,0.126774
67800,0.118775,0.121860,0.121407
67900,0.107401,0.103748,0.107663
68000,0.136978,0.135999,0.138062
68100,0.126381,0.120978,0.122547
68200,0.131390,0.127515,0.132011
68300,0.117662,0.116783,0.119701
68400,0.134468,0.133777,0.144001
68500,0.123474,0.125412,0.125818
68600,0.116332,0.116439,0.118529
68700,0.108919,0.113176,0.104671
68800,0.110664,0.111354,0.106485
68900,0.127616,0.127287,0.133264
69000,0.127400,0.135169,0.129841
69100,0.120509,0.120645,0.118134
69200,0.115365,0.120819,0.115776
69300,0.123654,0.127792,0.134992
69400,0.104055,0.097025,0.102425
69500,0.134848,0.132009,0.132519
69600,0.124039,0.126590,0.129701
69700,0.130859,0.126172,0.124424
69800,0.125611,0.122539,0.124173
69900,0.130143,0.129191,0.129546
70000,0.102961,0.106629,0.107182
70100,0.115911,0.121217,0.113470
70200,0.104387,0.096040,0.104154
70300,0.122938,0.123619,0.122859
70400,0.133747,0.126838,0.125731
70500,0.120164,0.123013,0.122520
70600,0.138371,0.142300,0.142604
70700,0.123906,0.126571,0.129588
70800,0.127868,0.131931,0.126631
70900,0.118695,0.118476,0.120017
71000,0.091560,0.091151,0.098152
71100,0.120507,0.126754,0.121502
71200,0.135987,0.137019,0.131285
71300,0.123891,0.118866,0.120529
71400,0.115310,0.112717,0.114668
71500,0.117451,0.118740,0.111433
71600,0.120445,0.114624,0.118875
71700,0.122552,0.116656,0.118646
71800,0.107734,0.106797,0.103052
71900,0.128979,0.126377,0.120920
72000,0.123439,0.131513,0.125115
72100,0.128286,0.133875,0.130705
72200,0.122088,0.126149,0.122870
72300,0.137551,0.135440,0.129270
72400,0.116117,0.111008,0.109811
72500,0.099095,0.100074,0.103059
72600,0.141401,0.146111,0.137451
72700,0.109961,0.107498,0.111415
72800,0.112980,0.111892,0.113160
72900,0.110712,0.110718,0.110688
73000,0.125320,0.126556,0.125326
73100,0.110146,0.107624,0.110640
73200,0.131516,0.126196,0.129135
73300,0.109260,0.109108,0.108612
73400,0.130848,0.133493,0.129891
73500,0.140715,0.139333,0.134595
73600,0.107028,0.104967,0.105323
73700,0.134801,0.130215,0.125484
73800,0.121753,0.112483,0.117337
73900,0.143468,0.141564,0.146838
74000,0.127465,0.124455,0.123816
74100,0.137103,0.136431,0.137627
74200,0.108941,0.111220,0.112131
74300,0.126900,0.123654,0.129319
74400,0.134349,0.137704,0.136517
74500,0.135947,0.133744,0.134675
74600,0.120306,0.113327,0.115332
74700,0.124061,0.125941,0.123889
74800,0.103860,0.106123,0.109006
74900,0.113270,0.124880,0.117648
75000,0.120555,0.122763,0.124324
75100,0.127197,0.121744,0.126308
75200,0.134339,0.132709,0.130114
75300,0.120671,0.128386,0.121290
75400,0.114571,0.116772,0.110145
75500,0.127392,0.129632,0.122989
75600,0.125891,0.117542,0.120881
75700,0.124709,0.123916,0.129691
75800,0.115834,0.119929,0.111770
75900,0.112960,0.117654,0.110689
76000,0.119700,0.114656,0.118466
76100,0.136931,0.136299,0.128271
76200,0.127630,0.129371,0.130522
76300,0.129567,0.120739,0.125326
76400,0.143844,0.147727,0.143874
76500,0.134711,0.139322,0.134007
76600,0.122539,0.120220,0.116771
76700,0.123929,0.120906,0.126257
76800,0.124435,0.124790,0.125040
76900,0.107466,0.105255,0.109129
77000,0.127867,0.125715,0.122248
77100,0.128354,0.125325,0.127688
77200,0.094959,0.095379,0.095364
77300,0.116482,0.115628,0.121215
77400,0.113865,0.112092,0.114167
77500,0.115758,0.117303,0.112743
